Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct)
11862	 0.22764E-04	-0.75891E-05	0.000011357	 0.54315E-04	6.0312E-06	0.000010287
11862	-0.35556E-05	 0.26674E-05	-5.8924E-06	-0.11313E-04	-7.0883E-06	-0.000012101
11863	-0.58533E-04	 0.45303E-05	0.000011749	-0.11245E-03	6.9242E-06	0.000011845
11863	 0.77194E-04	-0.96546E-05	-5.5256E-06	 0.15480E-03	-6.9138E-06	-0.000011841
11864	-0.13860E-03	 0.15861E-04	0.000012008	-0.27920E-03	7.8551E-06	0.000013394
11864	 0.15672E-03	-0.21048E-04	-5.1449E-06	 0.32122E-03	-6.5353E-06	-0.000011174
11865	-0.21557E-03	 0.24776E-04	0.000011882	-0.44757E-03	8.8036E-06	0.000014845
11865	 0.23320E-03	-0.29769E-04	-4.7519E-06	 0.48956E-03	-5.9497E-06	-0.000010095
11866	-0.28788E-03	 0.29806E-04	0.000011395	-0.61864E-03	9.7266E-06	0.000016113
11866	 0.30525E-03	-0.34258E-04	-4.7272E-06	 0.66100E-03	-5.1957E-06	-8.7163E-06
11867	-0.35509E-03	 0.30721E-04	0.000010579	-0.79173E-03	0.000010509	0.000017062
11867	 0.37241E-03	-0.34394E-04	-4.9523E-06	 0.83469E-03	-4.3163E-06	-7.1764E-06
11868	-0.41878E-03	 0.29380E-04	9.1193E-06	-0.96466E-03	0.000011006	0.00001757
11868	 0.43634E-03	-0.32011E-04	-5.4751E-06	 0.10080E-02	-3.3824E-06	-5.6411E-06
11869	-0.48273E-03	 0.29169E-04	7.3992E-06	-0.11346E-02	0.000011083	0.000017561
11869	 0.50087E-03	-0.30781E-04	-6.1728E-06	 0.11783E-02	-2.4877E-06	-4.2684E-06
11870	-0.55083E-03	 0.33264E-04	5.5431E-06	-0.13003E-02	0.00001064	0.000016932
11870	 0.56980E-03	-0.34023E-04	-6.8576E-06	 0.13443E-02	-1.6684E-06	-3.0836E-06
11871	-0.62422E-03	 0.42358E-04	3.7082E-06	-0.14623E-02	9.6923E-06	0.000015658
11871	 0.64403E-03	-0.42423E-04	-7.5445E-06	 0.15059E-02	-9.4464E-07	-2.0736E-06
11872	-0.70200E-03	 0.55388E-04	1.9578E-06	-0.16215E-02	8.3296E-06	0.000013779
11872	 0.72253E-03	-0.54959E-04	-7.9281E-06	 0.16646E-02	-3.1119E-07	-1.2004E-06
11873	-0.78343E-03	 0.71427E-04	3.7135E-07	-0.17791E-02	6.6296E-06	0.000011346
11873	 0.80462E-03	-0.70664E-04	-8.0859E-06	 0.18217E-02	2.8563E-07	-3.6715E-07
11874	-0.86899E-03	 0.90722E-04	-9.6248E-07	-0.19350E-02	0.000004674	8.4516E-06
11874	 0.89066E-03	-0.89790E-04	-8.0454E-06	 0.19769E-02	9.0235E-07	5.2344E-07
11875	-0.95902E-03	 0.11351E-03	-2.0535E-06	-0.20891E-02	0.000002555	5.2085E-06
11875	 0.98086E-03	-0.11258E-03	-7.7303E-06	 0.21299E-02	1.5873E-06	1.5606E-06
11876	-0.10515E-02	 0.13800E-03	-2.9995E-06	-0.22426E-02	3.4752E-07	1.7039E-06
11876	 0.10734E-02	-0.13712E-03	-7.3218E-06	 0.22823E-02	2.4002E-06	2.8537E-06
11877	-0.11417E-02	 0.15950E-03	-3.6182E-06	-0.24003E-02	-1.8822E-06	-1.9494E-06
11877	 0.11635E-02	-0.15879E-03	-6.6128E-06	 0.24393E-02	3.3761E-06	4.4539E-06
11878	-0.12244E-02	 0.17261E-03	-0.000003977	-0.25687E-02	-4.1095E-06	-0.000005643
11878	 0.12459E-02	-0.17190E-03	-6.1912E-06	 0.26068E-02	0.000004532	6.3545E-06
11879	-0.12953E-02	 0.17408E-03	-4.4474E-06	-0.27492E-02	-6.2947E-06	-0.000009211
11879	 0.13164E-02	-0.17322E-03	-0.00000566	 0.27870E-02	0.000005816	8.4162E-06
11880	-0.13544E-02	 0.16393E-03	-4.3223E-06	-0.29401E-02	-8.4094E-06	-0.000012537
11880	 0.13748E-02	-0.16306E-03	-4.9507E-06	 0.29778E-02	7.1534E-06	0.000010479
11881	-0.14079E-02	 0.14847E-03	-4.6566E-06	-0.31359E-02	-0.000010413	-0.000015578
11881	 0.14278E-02	-0.14716E-03	-0.000004949	 0.31732E-02	8.4481E-06	0.000012413
11882	-0.14684E-02	 0.13969E-03	-4.0479E-06	-0.33233E-02	-0.000012142	-0.000018232
11882	 0.14879E-02	-0.13843E-03	-4.8195E-06	 0.33610E-02	9.5126E-06	0.000014039
11883	-0.15495E-02	 0.15183E-03	-3.6649E-06	-0.34899E-02	-0.00001338	-0.000020377
11883	 0.15688E-02	-0.15070E-03	-4.8886E-06	 0.35272E-02	0.000010125	0.000015165
11884	-0.16578E-02	 0.19079E-03	-3.4593E-06	-0.36306E-02	-0.000013998	-0.000021918
11884	 0.16767E-02	-0.18989E-03	-5.1311E-06	 0.36661E-02	0.000010164	0.000015657
11885	-0.17872E-02	 0.24966E-03	-2.3942E-06	-0.37503E-02	-0.00001396	-0.00002268
11885	 0.18062E-02	-0.24948E-03	-0.000005315	 0.37849E-02	9.5917E-06	0.00001533
11886	-0.19226E-02	 0.31338E-03	-1.6288E-06	-0.38650E-02	-0.000013357	-0.000022521
11886	 0.19418E-02	-0.31379E-03	-5.6351E-06	 0.38989E-02	8.4723E-06	0.000014046
11887	-0.20512E-02	 0.36986E-03	-8.0532E-07	-0.39862E-02	-0.000012324	-0.000021433
11887	 0.20702E-02	-0.37073E-03	-5.9723E-06	 0.40190E-02	6.9182E-06	0.00001182
11888	-0.21698E-02	 0.41689E-03	-2.1608E-07	-0.41162E-02	-0.000010884	-0.000019387
11888	 0.21890E-02	-0.41826E-03	-5.8623E-06	 0.41489E-02	4.9494E-06	8.6448E-06
11889	-0.22788E-02	 0.45576E-03	-1.968E-07	-0.42526E-02	-0.000008931	-0.000016195
11889	 0.22984E-02	-0.45778E-03	-4.7443E-06	 0.42862E-02	2.4673E-06	4.3517E-06
11890	-0.21991E-02	 0.44865E-03	-6.7849E-07	-0.40701E-02	-6.4957E-06	-0.000011916
11890	 0.22073E-02	-0.44885E-03	-3.1141E-06	 0.40831E-02	-2.5512E-07	-5.3016E-07
11891	-0.14422E-02	 0.29173E-03	-9.0256E-09	-0.26781E-02	-0.000003597	-6.5983E-06
11891	 0.13732E-02	-0.27758E-03	-1.6486E-06	 0.25473E-02	-1.7821E-06	-3.2805E-06
11892	-0.36165E-03	 0.71606E-04	1.0716E-06	-0.67551E-03	-1.5317E-06	-2.7535E-06
11892	 0.22555E-03	-0.46385E-04	-2.2146E-06	 0.41142E-03	-1.5556E-06	-2.7866E-06
11893	 0.44853E-04	-0.74414E-05	-5.3716E-07	 0.88505E-04	-7.9494E-07	-1.3731E-06
11893	-0.14883E-03	 0.24175E-04	-1.0951E-07	-0.29948E-03	-8.2264E-07	-1.4193E-06
11894	-0.12966E-04	 0.15780E-05	-1.3024E-07	-0.28291E-04	-3.1276E-07	-5.2295E-07
11894	-0.19291E-04	 0.31276E-05	-3.8005E-07	-0.39614E-04	-3.3061E-07	-5.5144E-07
11895	 0.43279E-04	-0.42448E-05	-3.6509E-07	 0.96542E-04	-3.8561E-08	-6.301E-08
11895	-0.12170E-04	 0.12984E-05	-5.1249E-07	-0.27990E-04	9.5019E-08	1.5161E-07
11896	 0.55294E-04	-0.55846E-05	-4.3586E-07	 0.12282E-03	2.539E-07	4.0949E-07
11896	 0.10256E-04	-0.82197E-06	-7.7159E-07	 0.22183E-04	3.3105E-07	5.3386E-07
11897	-0.47937E-03	 0.54797E-04	-1.3371E-07	-0.10495E-02	2.221E-07	3.5918E-07
11897	 0.54715E-03	-0.61637E-04	-1.3959E-06	 0.11981E-02	7.5591E-07	1.2287E-06
11898	-0.13242E-02	 0.16633E-03	-2.0445E-06	-0.28479E-02	-2.6253E-06	-4.3741E-06
11898	 0.13794E-02	-0.17245E-03	3.4802E-07	 0.29663E-02	3.6531E-06	6.0666E-06
11899	-0.16310E-02	 0.21860E-03	-3.5724E-06	-0.34599E-02	-7.4123E-06	-0.00001249
11899	 0.16804E-02	-0.22462E-03	2.0349E-06	 0.35634E-02	7.9834E-06	0.000013445
11900	-0.15053E-02	 0.19231E-03	1.8067E-06	-0.32174E-02	-0.000010467	-0.000017582
11900	 0.15535E-02	-0.19821E-03	-2.5458E-06	 0.33200E-02	0.000010444	0.000017554
11901	-0.13538E-02	 0.13785E-03	7.9376E-06	-0.30080E-02	-0.000011012	-0.000018093
11901	 0.13999E-02	-0.14263E-03	-7.8688E-06	 0.31106E-02	0.00001061	0.000017461
11902	-0.11873E-02	 0.70221E-04	0.000013786	-0.28035E-02	-9.3437E-06	-0.000014883
11902	 0.12307E-02	-0.73226E-04	-0.000012871	 0.29072E-02	8.7294E-06	0.000013955
11903	-0.10282E-02	 0.15819E-04	0.00001642	-0.25745E-02	-6.3418E-06	-9.8796E-06
11903	 0.10702E-02	-0.16157E-04	-0.000017917	 0.26790E-02	5.4581E-06	8.5907E-06
11904	-0.89362E-03	-0.85560E-05	0.000016882	-0.23081E-02	-2.7438E-06	-4.4015E-06
11904	 0.93542E-03	 0.10004E-04	-0.000020916	 0.24134E-02	1.3143E-06	2.3414E-06
11905	-0.78110E-03	-0.77375E-05	0.000015302	-0.20173E-02	7.1462E-07	6.7496E-07
11905	 0.82405E-03	 0.10070E-04	-0.000022184	 0.21231E-02	-2.9212E-06	-3.8732E-06
11906	-0.67529E-03	-0.10639E-07	0.000013296	-0.17214E-02	3.2089E-06	4.4094E-06
11906	 0.71901E-03	 0.23141E-05	-0.000021358	 0.18270E-02	-6.2152E-06	-8.8082E-06
11907	-0.56056E-03	-0.12161E-05	0.000011026	-0.14330E-02	4.7849E-06	6.7754E-06
11907	 0.60393E-03	 0.36359E-05	-0.000019028	 0.15381E-02	-8.5035E-06	-0.000012201
11908	-0.43444E-03	-0.12543E-04	8.9284E-06	-0.11485E-02	5.6332E-06	7.9048E-06
11908	 0.47585E-03	 0.15812E-04	-0.000016091	 0.12530E-02	-9.9659E-06	-0.000014083
11909	-0.30473E-03	-0.23684E-04	5.9387E-06	-0.85503E-03	5.8277E-06	7.9373E-06
11909	 0.34331E-03	 0.28785E-04	-0.000013131	 0.95810E-03	-0.000010689	-0.000014613
11910	-0.18158E-03	-0.24525E-04	2.7849E-06	-0.54435E-03	5.4202E-06	7.1313E-06
11910	 0.21731E-03	 0.31515E-04	-0.00001006	 0.64592E-03	-0.000010723	-0.000014132
11911	-0.68991E-04	-0.12202E-04	-4.1673E-08	-0.21795E-03	4.3881E-06	5.6156E-06
11911	 0.10260E-03	 0.20702E-04	-7.4696E-06	 0.31831E-03	-0.000010085	-0.000012907
11912	 0.34707E-04	 0.10200E-04	-2.1321E-06	 0.11825E-03	2.6047E-06	3.2652E-06
11912	-0.29089E-05	-0.65680E-06	-5.2417E-06	-0.19154E-04	-8.8392E-06	-0.000011048
11913	 0.13005E-03	 0.41861E-04	-3.1901E-06	 0.46272E-03	1.8728E-07	2.5411E-07
11913	-0.10067E-03	-0.31596E-04	-2.9721E-06	-0.36556E-03	-7.2448E-06	-8.8241E-06
11914	 0.17856E-03	 0.72545E-04	-2.1899E-06	 0.68412E-03	-1.4094E-06	-1.6447E-06
11914	-0.10097E-03	-0.37478E-04	-1.1673E-06	-0.38067E-03	-5.7184E-06	-0.000006707
11915	 0.12856E-03	 0.67726E-04	-8.5565E-07	 0.53918E-03	-1.8704E-06	-2.0904E-06
11915	-0.61827E-06	 0.52136E-05	-5.2827E-07	 0.12457E-04	-3.6372E-06	-4.0576E-06
11916	 0.31677E-04	 0.19483E-04	7.4683E-08	 0.14157E-03	-1.6775E-06	-1.7591E-06
11916	 0.30331E-04	 0.21457E-04	1.1046E-07	 0.14350E-03	-1.6466E-06	-1.7318E-06
11917	-0.42313E-04	-0.54591E-04	3.9515E-07	-0.26770E-03	-6.8183E-07	-6.8193E-07
11917	-0.18176E-04	-0.25859E-04	3.7519E-07	-0.12125E-03	-6.6556E-07	-6.6382E-07
11918	-0.63626E-04	-0.97613E-04	4.4765E-07	-0.44492E-03	4.8087E-07	4.3049E-07
11918	-0.66824E-04	-0.10970E-03	6.4271E-07	-0.48638E-03	3.9525E-07	3.5182E-07
11919	 0.21469E-04	 0.65516E-04	8.9389E-07	 0.23915E-03	0.000002089	1.8272E-06
11919	-0.12796E-03	-0.27450E-03	6.4397E-07	-0.11051E-02	2.0351E-06	1.7785E-06
11920	 0.13067E-03	 0.37583E-03	1.0491E-06	 0.13847E-02	4.1009E-06	3.4499E-06
11920	-0.16378E-03	-0.45287E-03	-1.6957E-06	-0.16881E-02	3.4268E-06	2.8877E-06
11921	 0.13337E-03	 0.51060E-03	0.000001386	 0.17475E-02	5.2951E-06	4.2628E-06
11921	-0.13120E-03	-0.50465E-03	-4.0248E-06	-0.17301E-02	3.5781E-06	2.8903E-06
11922	 0.75995E-04	 0.48446E-03	4.7488E-07	 0.14998E-02	5.5991E-06	4.2601E-06
