Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct) 
11699	2.8575E-06	-0.000004591	0.000007112	2.3275E-06	-2.1273E-06	-0.000013935
11700	-3.8986E-06	3.7189E-06	-4.2148E-06	-2.3504E-06	5.7143E-07	3.7837E-06
11700	3.0438E-06	-5.1207E-06	0.000008067	2.5207E-06	-2.3666E-06	-0.000015682
11701	-0.000004409	4.5228E-06	-0.000005447	-2.7408E-06	8.7027E-07	5.7973E-06
11701	3.2702E-06	-5.7078E-06	9.1085E-06	2.7558E-06	-2.6431E-06	-0.000017614
11702	-4.9657E-06	5.4157E-06	-6.8294E-06	-3.1952E-06	1.2054E-06	8.0105E-06
11702	3.5286E-06	-6.3613E-06	0.000010266	3.0441E-06	-2.9727E-06	-0.000019761
11703	-5.5834E-06	0.000006397	-8.3476E-06	-3.7226E-06	1.5876E-06	0.000010457
11703	3.8147E-06	-7.0972E-06	0.000011578	3.3904E-06	-3.3592E-06	-0.00002213
11704	-6.2769E-06	7.4692E-06	-9.9907E-06	-4.3208E-06	2.0215E-06	0.000013172
11704	4.1336E-06	-7.9344E-06	0.000013078	3.7929E-06	-3.7934E-06	-0.000024721
11705	-7.0626E-06	8.6453E-06	-0.000011767	-4.9688E-06	2.5006E-06	0.000016204
11705	4.4968E-06	-8.8887E-06	0.000014786	4.2336E-06	-4.2498E-06	-0.000027534
11706	-7.9409E-06	9.9535E-06	-0.000013729	-5.6394E-06	3.0132E-06	0.000019605
11706	4.9228E-06	-9.9551E-06	0.000016667	0.000004688	-4.7032E-06	-0.000030587
11707	-8.8932E-06	0.000011427	-0.000015966	-6.3313E-06	3.5578E-06	0.000023415
11707	5.4323E-06	-0.000011118	0.000018669	5.1554E-06	-5.1572E-06	-0.000033919
11708	-0.000009905	0.000013086	-0.000018541	-0.000007078	4.1521E-06	0.000027656
11708	6.0414E-06	-0.000012368	0.000020757	5.6651E-06	-5.6473E-06	-0.000037588
11709	-0.000010993	0.000014933	-0.000021453	-7.9342E-06	4.8274E-06	0.000032357
11709	6.7582E-06	-0.000013719	0.000022962	6.2626E-06	-0.00000622	-0.000041658
11710	-0.000012208	0.00001697	-0.000024654	-8.9214E-06	5.5965E-06	0.000037568
11710	7.5878E-06	-0.000015213	0.000025371	0.000006966	-6.8877E-06	-0.000046192
11711	-0.000013586	0.000019217	-0.000028154	-0.000010037	6.4593E-06	0.000043361
11711	0.000008559	-0.000016879	0.000028013	7.7759E-06	-7.6436E-06	-0.000051254
11712	-0.000015153	0.000021701	-0.000031979	-0.000011297	7.4285E-06	0.000049813
11712	9.7078E-06	-0.000018745	0.000030915	0.000008713	-8.4983E-06	-0.000056914
11713	-0.000016949	0.000024439	-0.000036136	-0.000012744	8.5314E-06	0.000057011
11713	0.000011078	-0.000020838	0.000034095	9.8162E-06	-9.4782E-06	-0.000063247
11714	-0.000019048	0.000027443	-0.000040586	-0.000014449	9.8133E-06	0.000065054
11714	0.00001272	-0.000023207	0.000037616	0.000011151	-0.000010627	-0.000070338
11715	-0.000021565	0.000030729	-0.000045244	-0.000016428	0.000011278	0.000074061
11715	0.00001469	-0.000025936	0.000041601	0.000012745	-0.000011944	-0.000078304
11716	-0.000024601	0.000034361	-0.000050122	-0.00001854	0.00001282	0.000084191
11716	0.000017087	-0.000029063	0.00004601	0.00001449	-0.000013316	-0.000087291
11717	-0.000028102	0.000038474	-0.000055529	-0.000020633	0.000014345	0.000095624
11717	0.000020087	-0.000032483	0.000050421	0.000016267	-0.000014647	-0.000097435
11718	-0.000031952	0.000043238	-0.000061998	-0.00002303	0.000016087	0.0001086
11718	0.000023897	-0.000036125	0.00005452	0.000018355	-0.000016171	-0.00010891
11719	-0.000036455	0.000048486	-0.000068993	-0.00002648	0.000018533	0.0001232
11719	0.000028651	-0.000040124	0.000058566	0.000021409	-0.000018365	-0.00012176
11720	-0.0000424	0.000053967	-0.000075275	-0.000031538	0.000021965	0.00013955
11720	0.000034456	-0.000044953	0.000063534	0.000025956	-0.000021482	-0.00013613
11721	-0.000050611	0.000059595	-0.000079811	-0.000038085	0.000026122	0.0001577
11721	0.000041583	-0.000051079	0.000070137	0.000031988	-0.000025291	-0.00015237
