Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11719	0.0000327	-0.000021245	0.000013984	0.000017006	-0.000013001	-0.000084513
11720	-0.000021119	0.000020738	-0.00002427	-0.00001386	9.1599E-06	0.000056833
11720	0.000037704	-0.000024799	0.000016949	0.000020688	-0.000015504	-0.000096258
11721	-0.00002569	0.000024423	-0.000027958	-0.000017518	0.000011749	0.000069292
11721	0.00004321	-0.000028723	0.000020317	0.000025137	-0.000018529	-0.00010928
11722	-0.000031299	0.000028312	-0.000031066	-0.000021506	0.000014529	0.000083209
11722	0.000049651	-0.000033217	0.00002398	0.000029891	-0.000021602	-0.00012363
11723	-0.000038604	0.00003276	-0.000033654	-0.000025793	0.000017236	0.000098563
11723	0.000057834	-0.000038426	0.000027371	0.000034791	-0.000024379	-0.00013925
11724	-0.000048199	0.000038012	-0.000035711	-0.000030874	0.000019948	0.00011515
11724	0.000068456	-0.000044346	0.000029865	0.000040396	-0.000027033	-0.00015584
11725	-0.000060482	0.000043957	-0.000036713	-0.000037377	0.000022858	0.0001322
11725	0.000081831	-0.000050887	0.0000311	0.000047491	-0.000029899	-0.00017267
11726	-0.000075746	0.000050361	-0.000035896	-0.000045449	0.000025814	0.00014846
11726	0.000098038	-0.000057997	0.000030914	0.000056226	-0.000032859	-0.0001887
11727	-0.000094234	0.000057166	-0.000032785	-0.000054556	0.000028183	0.00016221
11727	0.00011723	-0.000065658	0.000028979	0.000065894	-0.000035226	-0.00020244
11728	-0.00011574	0.000064414	-0.000027556	-0.00006403	0.000029337	0.00017125
11728	0.00013934	-0.000073756	0.000024967	0.000075729	-0.000036347	-0.00021184
11729	-0.00013919	0.000071774	-0.000020602	-0.000073769	0.000029187	0.00017343
11729	0.00016345	-0.000081849	0.000018931	0.000085749	-0.000036191	-0.00021469
11730	-0.00016283	0.000078717	-0.000012684	-0.000084029	0.000027886	0.00016711
11730	0.00018768	-0.000089455	0.000011853	0.000096363	-0.000034984	-0.00020924
11731	-0.00018454	0.000084741	-4.8321E-06	-0.000094328	0.000025396	0.0001519
11731	0.00020982	-0.000096129	5.0019E-06	0.0001071	-0.000032717	-0.00019518
11732	-0.00020233	0.00008959	1.6938E-06	-0.00010327	0.000021613	0.0001289
11732	0.00022797	-0.00010161	-4.7984E-07	0.0001165	-0.000029272	-0.00017387
11733	-0.00021501	0.000093275	5.9334E-06	-0.00010927	0.000016709	0.00010054
11733	0.00024109	-0.00010588	-3.8688E-06	0.00012286	-0.000024776	-0.00014791
11734	-0.00022233	0.00009592	7.5116E-06	-0.00011158	0.000011268	0.000069984
11734	0.00024901	-0.00010904	-4.9596E-06	0.00012537	-0.000019746	-0.00012038
11735	-0.00022469	0.000097526	6.7183E-06	-0.00011079	6.0164E-06	0.00004021
11735	0.00025216	-0.00011107	-0.000004088	0.0001247	-0.000014871	-0.000093894
11736	-0.00022285	0.000098009	0.00000425	-0.00010835	1.4609E-06	0.000013481
