Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11691	1.858E-07	-5.9937E-06	0.000012734	1.9281E-06	-1.8916E-06	-0.000012429
11692	-6.9735E-06	7.4326E-06	-9.2273E-06	-4.4865E-06	2.4138E-06	0.000015888
11692	1.542E-07	-6.6288E-06	0.000014132	2.1117E-06	-2.1217E-06	-0.000013974
11693	-0.000007452	8.2701E-06	-0.000010566	-4.8953E-06	2.7465E-06	0.000018085
11693	0.000000125	-7.3034E-06	0.000015614	2.3119E-06	-2.3703E-06	-0.00001562
11694	-7.9682E-06	9.1804E-06	-0.000012028	-5.3586E-06	3.1139E-06	0.00002044
11694	1.0682E-07	-8.0342E-06	0.000017208	2.5424E-06	-2.6451E-06	-0.000017379
11695	-8.5522E-06	0.00001017	-0.000013599	-5.8901E-06	3.5213E-06	0.000022972
11695	1.1023E-07	-8.8443E-06	0.000018953	2.8152E-06	-2.9487E-06	-0.000019259
11696	-9.2302E-06	0.000011241	-0.000015254	-6.4781E-06	3.9614E-06	0.000025709
11696	1.3965E-07	-9.7481E-06	0.000020875	3.1265E-06	-3.2723E-06	-0.000021265
11697	-9.9941E-06	0.000012411	-0.000017033	-0.000007094	4.4202E-06	0.000028683
11697	1.9672E-07	-0.000010742	0.000022962	3.4605E-06	-3.6015E-06	-0.000023406
11698	-0.00001081	0.000013693	-0.000018996	-7.7159E-06	4.8907E-06	0.000031918
11698	2.7268E-07	-0.000011803	0.000025171	3.7989E-06	-3.9302E-06	-0.000025695
11699	-0.000011634	0.0000151	-0.000021212	-8.3237E-06	5.3675E-06	0.000035427
11699	3.5177E-07	-0.0000129	0.000027451	4.1219E-06	-4.2567E-06	-0.000028152
11700	-0.000012414	0.000016646	-0.000023764	-0.000008937	5.8681E-06	0.000039212
11700	4.3902E-07	-0.000014001	0.00002973	4.4359E-06	-4.6001E-06	-0.000030808
11701	-0.000013167	0.000018337	-0.000026663	-9.6298E-06	0.000006434	0.000043272
11701	5.483E-07	-0.000015137	0.000032064	4.7876E-06	-4.9988E-06	-0.000033703
11702	-0.000013984	0.000020161	-0.0000298	-0.000010463	7.0937E-06	0.000047627
11702	6.9015E-07	-0.000016363	0.000034568	5.2168E-06	-5.4747E-06	-0.000036853
11703	-0.00001497	0.00002212	-0.000033076	-0.00001147	0.000007856	0.000052323
11703	8.8686E-07	-0.00001775	0.000037373	5.7529E-06	-6.0301E-06	-0.000040273
11704	-0.000016202	0.000024221	-0.000036427	-0.000012641	8.7075E-06	0.000057418
11704	1.1743E-06	-0.000019362	0.000040578	6.4103E-06	-6.6523E-06	-0.000043997
11705	-0.0000177	0.000026487	-0.000039867	-0.000013901	9.5991E-06	0.000062985
11705	1.5616E-06	-0.000021218	0.000044208	0.000007153	-7.3005E-06	-0.00004806
11706	-0.000019376	0.000028962	-0.000043559	-0.000015145	0.00001048	0.000069095
11706	2.0363E-06	-0.000023248	0.000048114	7.9064E-06	-7.9322E-06	-0.000052493
11707	-0.000021087	0.000031694	-0.00004775	-0.000016341	0.000011355	0.000075803
11707	2.5854E-06	-0.000025354	0.000052101	8.6322E-06	-8.5533E-06	-0.000057334
11708	-0.000022743	0.000034706	-0.000052588	-0.000017564	0.00001229	0.000083141
11708	3.2113E-06	-0.000027482	0.000056055	9.3623E-06	-9.2185E-06	-0.000062635
11709	-0.000024397	0.000037991	-0.000058032	-0.000018948	0.00001337	0.000091147
11709	3.9333E-06	-0.000029672	0.000060056	0.00001018	-9.9965E-06	-0.000068451
11710	-0.000026208	0.00004154	-0.000063903	-0.000020545	0.000014613	0.000099894
11710	4.7715E-06	-0.000032037	0.000064329	0.000011131	-0.000010899	-0.000074844
11711	-0.000028265	0.00004539	-0.000070189	-0.000022338	0.000015993	0.00010948
11711	5.7873E-06	-0.000034639	0.00006894	0.000012223	-0.00001191	-0.000081895
11712	-0.000030623	0.000049579	-0.000076917	-0.000024354	0.000017528	0.00012003
11712	7.0407E-06	-0.000037529	0.000073943	0.000013491	-0.000013042	-0.000089708
11713	-0.000033355	0.000054133	-0.000084076	-0.000026667	0.000019265	0.00013166
11713	8.6062E-06	-0.000040756	0.000079375	0.000014996	-0.000014333	-0.000098394
11714	-0.00003662	0.000059062	-0.000091552	-0.000029416	0.000021285	0.0001445
11714	0.000010575	-0.000044423	0.000085377	0.000016852	-0.000015849	-0.00010809
11715	-0.000040656	0.00006438	-0.000099129	-0.000032621	0.000023571	0.00015872
11715	0.000013042	-0.000048697	0.000092211	0.00001911	-0.000017587	-0.000119
11716	-0.000045565	0.000070178	-0.00010684	-0.000035954	0.000025887	0.00017456
11716	0.000016108	-0.000053598	0.000099784	0.00002158	-0.000019378	-0.00013137
11717	-0.000051024	0.00007666	-0.00011539	-0.000039056	0.000028037	0.00019229
11717	0.00001994	-0.000058799	0.0001072	0.000024003	-0.000021077	-0.00014536
11718	-0.000056673	0.000084089	-0.0001258	-0.0000425	0.000030493	0.0002123
11718	0.000024827	-0.000064095	0.00011378	0.000026757	-0.000023029	-0.00016114
11719	-0.000063237	0.000092188	-0.00013697	-0.000047712	0.000034181	0.00023472
11719	0.000031095	-0.000069867	0.00012018	0.0000309	-0.000025916	-0.00017872
11720	-0.000072532	0.00010056	-0.0001464	-0.000055757	0.000039557	0.0002597
11720	0.000039136	-0.00007721	0.00012847	0.000037393	-0.000030086	-0.00019841
11721	-0.000086286	0.00010912	-0.00015211	-0.000066454	0.00004606	0.00028725
11721	0.000049548	-0.000087089	0.0001401	0.000046396	-0.00003521	-0.00022099
11722	-0.00010527	0.00011824	-0.00015388	-0.000078411	0.00005238	0.00031713
11722	0.000063211	-0.000099705	0.00015443	0.000057079	-0.000040475	-0.00024745
11723	-0.00012911	0.00012869	-0.00015343	-0.000090495	0.00005761	0.00034883
11723	0.000081126	-0.00011415	0.00016835	0.000068463	-0.000045281	-0.00027786
11724	-0.00015747	0.00014072	-0.00015183	-0.00010352	0.000062225	0.00038156
